,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Event Source,Event Souce ID
4452,UEI-IMD-FL-2014-0045,2014-05-03,2014-05-09,7.0,heavy rains ,,"Alappuzha, Ernakulam, Kozhikode, Malappuram Thrissur, Thiruvananthapuram and Wayanad",,,,,4,20,,,"2 persons drowned , 2 persons died as a tree fell on him and 3 others injured in Thiruvananthapuram. 2 persons drowned in Kozhikode, other in Malappuram as a branch of a tree fell over her and 10 others injured. 2 persons died and other injured due to tree fell on them in Wayanad. ",IMD,
4453,UEI-IMD-FL-2014-0046,2014-06-06,2014-06-06,1.0,heavy rains ,,Wayanad ,,,,,,,,,,IMD,
4454,UEI-IMD-FL-2014-0047,2014-06-12,2014-06-14,3.0,heavy rains ,,Thiruvananthapuram ,,,,,,,,,,IMD,
4455,UEI-IMD-FL-2014-0048,2014-06-21,2014-06-21,1.0,heavy rains ,,Idukki,,,,,,,,,,IMD,
4456,UEI-IMD-FL-2014-0049,2014-07-12,2014-07-15,4.0,heavy rains,,"Kannur, Kasaragod, Kozhikode, Malappuram and Wayanad. ",,,,,9,2,,,2 persons died and 2 others missing in Kannur. 5 persons died in Kasargod. 2 persons died in Kozhikode. 2 persons died in Malappuram. ,IMD,
4457,UEI-IMD-FL-2014-0050,2014-08-01,2014-08-07,7.0,heavy rains,,"Alappuzha, Kannur, Kasaragod, Kozhikode, Kottayam, Malappuram, Palakkad, Pathanamthitta, Thrissur, Thiruvananthapuram and Wayanad ",,,,,,,,,"One person died in Alappuzha. 2 persons died and other missing in Idukki. 3 persons died, 2 others drowned and 3 others missing in Kasargod. 2 persons drowned and other missing in Malappuram. 4 persons died in Kottayam. One person died and other drowned in Pathanamthitta. One person died in Thrissur.  ",IMD,
4458,UEI-IMD-FL-2014-0051,2014-08-22,2014-08-24,3.0,heavy rains ,,"Kottayam, Pathanamthitta, Thiruvananthapuram Wayanad ",,,,,4,7,,,3 persons died in Pathanamthitta. One person died and 7 others missing in Thiruvananthapuram. . ,IMD,
4459,UEI-IMD-FL-2014-0052,2014-09-01,2014-09-03,3.0,heavy rains ,,Thiruvananthapuram,,,,,,,,,,IMD,
4460,UEI-IMD-FL-2014-0053,2014-09-26,2014-09-26,1.0,heavy rains ,,Thiruvananthapuram,,,,,,,,,,IMD,
4461,UEI-IMD-FL-2014-0054,2014-07-15,2014-07-16,2.0,heavy rains,,Burhanpur and Vidisha,,,,,7,9,,,7 boys died due to wall collapse in Daulatpur area and 9 others injured while other died in Vidisha. ,IMD,
