0,1,2
592,592,08-2009,bihar
593,593,07-2010,haryana
594,594,07-2010,kerala
595,595,07-2010,punjab
596,596,07-2010,haryana
597,597,05-2010,andhra pradesh
598,598,07-2010,delhi
599,599,08-2010,jammu
600,600,09-2010,assam
601,601,09-2010,bihar
602,602,09-2010,uttar pradesh
603,603,09-2010,uttarakhand
604,604,09-2010,uttarakhand
605,605,09-2010,haryana
606,606,09-2010,punjab
607,607,09-2010,uttar pradesh
608,608,11-2010,tamil nadu
609,609,11-2010,tamil nadu
610,610,11-2010,tamil nadu
611,611,11-2010,tamil nadu
612,612,08-2011,west bengal
613,613,09-2011,orissa
614,614,09-2011,orissa
615,615,09-2011,orissa
616,616,09-2011,orissa
617,617,09-2011,orissa
618,618,09-2011,orissa
619,619,08-2011,assam
620,620,08-2011,meghalaya
621,621,08-2011,assam
622,622,08-2011,bihar
623,623,08-2011,uttar pradesh
624,624,08-2011,assam
625,625,08-2011,assam
626,626,08-2011,bihar
627,627,08-2011,bihar
628,628,08-2011,bihar
629,629,08-2011,bihar
630,630,08-2011,bihar
631,631,08-2011,bihar 
632,632,08-2011,haryana
633,633,08-2011,madhya pradesh
634,634,08-2011,manipur
635,635,08-2011,assam
636,636,08-2011,assam
637,637,08-2011,uttar pradesh
638,638,08-2011,uttar pradesh
639,639,08-2011,uttar pradesh
640,640,08-2011,uttar pradesh
641,641,08-2011,uttar pradesh
642,642,07-2011,rajasthan
643,643,07-2011,uttar pradesh
644,644,09-2011,orissa
645,645,06-2011,uttar pradesh
646,646,06-2011,uttarakhand
647,647,06-2012,arunachal pradesh
648,648,06-2012,assam
649,649,06-2012,himachal pradesh
650,650,08-2012,arunachal pradesh
651,651,08-2012,rajasthan
652,652,08-2012,himachal pradesh
653,653,08-2012,rajasthan
654,654,08-2012,rajasthan
655,655,08-2012,rajasthan
656,656,08-2012,rajasthan
657,657,08-2012,himachal pradesh
658,658,08-2012,jammu
659,659,08-2012,uttar pradesh
660,660,08-2012,uttarakhand
661,661,08-2012,himachal pradesh
662,662,08-2012,uttar pradesh
663,663,09-2012,uttarakhand
664,664,09-2012,arunachal pradesh
665,665,09-2012,assam
666,666,09-2012,bihar
667,667,09-2012,goa
668,668,09-2012,sikkim
669,669,09-2012,uttar pradesh
670,670,09-2012,west bengal
671,671,09-2012,assam
672,672,09-2012,assam
673,673,09-2012,assam
674,674,09-2012,bihar
675,675,09-2012,bihar
676,676,09-2012,bihar
677,677,09-2012,bihar
678,678,09-2012,bihar 
679,679,09-2012,himachal pradesh
680,680,09-2012,madhya pradesh
681,681,09-2012,manipur
682,682,09-2012,bihar
683,683,09-2012,assam
684,684,09-2012,manipur
685,685,09-2012,assam
686,686,09-2012,assam
687,687,06-2013,bihar
688,688,06-2013,gujarat
689,689,06-2013,himachal pradesh
690,690,06-2013,karnataka
691,691,06-2013,kerala
692,692,06-2013,uttar pradesh
693,693,06-2013,uttarakhand
694,694,06-2013,west bengal
695,695,07-2013,uttar pradesh
696,696,06-2013,assam
697,697,06-2013,assam
698,698,06-2013,assam
699,699,06-2013,assam
700,700,06-2013,manipur
701,701,06-2013,manipur
702,702,06-2013,assam
703,703,06-2013,manipur
704,704,06-2013,assam
705,705,08-2013,assam
706,706,08-2013,madhya pradesh
707,707,08-2013,uttar pradesh
708,708,08-2013,madhya pradesh
709,709,08-2013,madhya pradesh
710,710,10-2013,andhra pradesh
711,711,10-2013,west bengal
712,712,10-2013,orissa
713,713,06-2014,assam
714,714,07-2014,himachal pradesh
715,715,07-2014,uttarakhand
716,716,08-2014,orissa
717,717,09-2014,assam
718,718,09-2014,goa
719,719,09-2014,meghalaya
720,720,09-2014,meghalaya
721,721,08-2014,assam
722,722,08-2014,bihar
723,723,08-2014,uttar pradesh
724,724,08-2014,uttarakhand
725,725,08-2014,odisha
726,726,03-2015,jammu
727,727,05-2015,tamil nadu
728,728,05-2015,himachal pradesh
729,729,06-2015,gujarat
730,730,06-2015,maharashtra
731,731,06-2015,gujrat
732,732,06-2015,gujrat
733,733,06-2015,west bengal
734,734,07-2015,assam
735,735,07-2015,goa
736,736,07-2015,gujarat
737,737,07-2015,madhya pradesh
738,738,07-2015,manipur
739,739,07-2015,rajasthan
740,740,07-2015,west bengal
741,741,07-2015,orissa
742,742,07-2015,assam
743,743,07-2015,assam
744,744,07-2015,west bengal
745,745,07-2015,arunachal pradesh
746,746,07-2015,haryana
747,747,07-2015,himachal pradesh
748,748,07-2015,jammu
749,749,07-2015,punjab
750,750,07-2015,rajasthan
751,751,07-2015,uttar pradesh
752,752,07-2015,uttarakhand
753,753,07-2015,himachal pradesh
754,754,08-2015,assam
755,755,08-2015,assam
756,756,08-2015,goa
757,757,08-2015,assam
758,758,08-2015,assam
759,759,08-2015,madhya pradesh
760,760,08-2015,manipur
761,761,08-2015,manipur
762,762,08-2015,bihar
763,763,08-2015,manipur
764,764,08-2015,assam
765,765,08-2015,assam
766,766,07-2015,arunachal pradesh
767,767,07-2015,assam
768,768,07-2015,himachal pradesh
769,769,07-2015,manipur
770,770,11-2015,andhra pradesh
771,771,11-2015,tamil nadu
772,772,11-2015,puducherry
773,773,11-2015,andhra pradesh
774,774,11-2015,tamil nadu
775,775,04-2016,arunachal pradesh
776,776,04-2016,assam
777,777,04-2016,nagaland
778,778,04-2016,himachal pradesh
779,779,06-2016,arunachal pradesh
780,780,06-2016,assam
781,781,06-2016,uttarakhand
782,782,06-2016,himachal pradesh
783,783,07-2016,assam
784,784,07-2016,goa
785,785,07-2016,assam
786,786,07-2016,manipur
787,787,07-2016,bihar
788,788,07-2016,assam
789,789,07-2016,uttar pradesh
790,790,07-2016,bihar
791,791,07-2016,bihar
792,792,07-2016,bihar
793,793,07-2016,bihar
794,794,07-2016,bihar 
795,795,07-2016,haryana
796,796,07-2016,uttar pradesh
797,797,07-2016,uttar pradesh
798,798,07-2016,uttar pradesh
799,799,07-2016,madhya pradesh
800,800,07-2016,madhya pradesh
801,801,07-2016,madhya pradesh
802,802,07-2016,madhya pradesh
803,803,07-2016,madhya pradesh
804,804,07-2016,madhya pradesh
805,805,08-2016,gujarat
806,806,08-2016,maharashtra
807,807,08-2016,gujrat
808,808,08-2016,gujrat
809,809,08-2016,maharashtra
810,810,08-2016,maharashtra
811,811,08-2016,maharashtra
812,812,08-2016,maharashtra
813,813,09-2016,andhra pradesh
814,814,09-2016,telangana
815,815,07-2016,assam
816,816,07-2016,assam
817,817,07-2016,assam
818,818,06-2017,assam
819,819,06-2017,manipur
820,820,06-2017,nagaland
